k,accuracy
1,0.3123175715119673
2,0.3793434819704522
3,0.40493660843929635
4,0.4196753334231443
5,0.43265885311414976
6,0.441453739877513
7,0.449910509805424
8,0.4581379945215322
9,0.4660250173384504
10,0.47210202523688166
11,0.4761662155708184
12,0.47910997350577617
13,0.4825763306701552
14,0.4861165104598372
15,0.48917388896382313
16,0.4918777223943599
17,0.4934504045454002
18,0.49476402173433914
19,0.4957550146416133
20,0.4968251829898036
21,0.4978430404000527
22,0.4994480709016658
23,0.5016921554042273
24,0.504327765054556
25,0.5076139925457671
26,0.5109241201118759
27,0.5142006077208184
28,0.5171824381106376
29,0.5201856299386458
30,0.5229957938539901
31,0.5256982439062835
32,0.5281318761507028
33,0.5304781616514878
34,0.5325369215448459
35,0.5345337208033889
36,0.5363981319322765
37,0.5381751143572271
38,0.5399434191027305
39,0.5416035399329617
40,0.543276752436123
41,0.5449903562756065
42,0.5466512277369286
43,0.5483572428873353
44,0.5501285929481445
45,0.5519110272874213
46,0.553769033575562
47,0.5556523093356065
48,0.5576614351789476
49,0.5597069597069556
50,0.5618808208721068
51,0.5640972811055942
52,0.5663607913035567
53,0.5686598766200825
54,0.5710509377756944
55,0.5734481280540483
56,0.5759160716691423
57,0.5783728934799572
58,0.5809148638666696
59,0.5834486034014743
60,0.5859616507252603
61,0.5885352644159882
62,0.5910861185590695
63,0.5935561357623841
64,0.5960303561004087
65,0.5984382567000852
66,0.6007722380754772
67,0.6029944578601624
68,0.605170337028731
69,0.6072698708349722
70,0.609232180545244
71,0.6111183423679373
72,0.6128642956576348
73,0.6144532881568943
74,0.615957706325018
75,0.6173312377444669
76,0.6186492433428018
77,0.6197920001770167
78,0.6208405153301289
79,0.6218129192478943
80,0.622650657865191
81,0.6234035133821144
82,0.6240683483220132
83,0.6246516985360753
84,0.62516663138381
85,0.625534414762718
86,0.6258493661541986
87,0.6260697438787743
88,0.6262324511448768
89,0.6262904899793099
90,0.6263030321167693
91,0.6262277576027885
92,0.6261699340280058
93,0.6260483617468137
94,0.6258910631418262
95,0.6256910361579019
96,0.6254646781025934
97,0.6252968737920884
98,0.6250885966672531
99,0.6248918753297108
100,0.6247113027077874
101,0.6245334165640015
102,0.6243277606521608
103,0.6241793742619641
104,0.624041958984036
105,0.6239111812487108
106,0.6237921062954979
107,0.6236671153015712
108,0.6235456863302822
109,0.6233956695463001
110,0.6232708330782862
111,0.6231194416828633
112,0.6229434896685404
113,0.6227637372004944
114,0.622555940796556
115,0.6223674556363794
116,0.6221387857869667
117,0.6219306053060796
118,0.6216725234059644
119,0.6214174960029261
120,0.621133189635828
121,0.620855215473791
122,0.6205487448920066
123,0.6202597434837888
124,0.6199675811449542
125,0.6196895774395793
126,0.6194273197769012
127,0.6191695457438238
128,0.6189164309129283
129,0.6186649428535576
130,0.6184158039627065
131,0.6182406720875584
132,0.618076154240796
133,0.6179311271572301
134,0.6178270040072796
135,0.6177888877241274
136,0.6178001996972668
137,0.6178562520056425
138,0.6179530132548624
139,0.6180899925081313
140,0.6183009051660929
141,0.6185556425001744
142,0.618830952394301
143,0.6191445538608715
144,0.6194828635721783
145,0.619827655887838
146,0.6201856256955526
147,0.6205455068101846
148,0.6208982187091177
149,0.6212631337209454
150,0.6216443187092138
151,0.6219973181618715
152,0.6223316694673541
153,0.6226789666575324
154,0.6230112561109878
155,0.6233641153113743
156,0.6237267858849563
157,0.6240528019728545
158,0.6243961776917157
159,0.6247560771368827
160,0.6251033387219848
161,0.6254810394306228
162,0.6258531347071091
163,0.6262479382740126
164,0.62665435599526
165,0.6270415321202513
166,0.6274354050987025
167,0.6278142892443848
168,0.6281796283110177
169,0.6285291650424348
170,0.6288661896121456
171,0.6291729593411773
172,0.6294880149377828
173,0.6297860345015652
174,0.6300409878585356
175,0.6302977489526563
176,0.6305399577071994
177,0.630804343297976
178,0.6310448191949521
179,0.6313022261324004
180,0.6315472430533646
181,0.6318109881461413
182,0.6320673937398557
183,0.6323379777372304
184,0.6325993240749844
185,0.6328780889196511
186,0.6331893943894361
187,0.6334840668413407
188,0.6338185513112129
189,0.6341817141578787
190,0.6345723462630246
191,0.6349952825742557
192,0.6354643787327657
193,0.6359636540212363
194,0.6365087058751806
195,0.6371219966581236
196,0.637759088547184
197,0.6384783381236881
198,0.6392278344993071
199,0.640029010290077
200,0.640860927747079
201,0.6417570417257039
202,0.6427194221510245
203,0.6437417364523649
204,0.6448055372851761
205,0.6459500410172122
206,0.6471965686986211
207,0.6485216879339539
208,0.6499148954911471
