k,accuracy
1,0.32158606134087747
2,0.3928510485428174
3,0.4189411289236357
4,0.4396470429745386
5,0.4564120526291859
6,0.465533551873274
7,0.4724928311617941
8,0.4795758677982846
9,0.4866386256929231
10,0.4912281647133126
11,0.49502978049389923
12,0.49764321104077175
13,0.5003167563049706
14,0.5028476485570064
15,0.504565689224265
16,0.5058085230589608
17,0.5068813676621522
18,0.5077092719825704
19,0.5082538624616885
20,0.5089316987740848
21,0.5099966000142202
22,0.5117088982238035
23,0.5138677865701997
24,0.5161633511458391
25,0.5189165207239531
26,0.521885546309726
27,0.5247587162357221
28,0.5273185658474668
29,0.5296866991534548
30,0.531735297199449
31,0.5337867337641394
32,0.5356296870088464
33,0.5372812048818613
34,0.538827914299215
35,0.5403965794858634
36,0.5418743544838053
37,0.5431902062374854
38,0.5445155053874299
39,0.5458562034608654
40,0.5473166734024852
41,0.5488892466722703
42,0.550519299731113
43,0.5523105954987176
44,0.5541090549846689
45,0.5558994316961702
46,0.5576920148304758
47,0.5594946892110859
48,0.5613343287380106
49,0.563241478728075
50,0.5651799362342608
51,0.5671540231342066
52,0.5691637564465468
53,0.5712626995645818
54,0.5734038182955661
55,0.5755985287333227
56,0.5778344976681263
57,0.5799951628135801
58,0.5822034961233761
59,0.5844279994000314
60,0.5865517086533192
61,0.5886849984062487
62,0.5908284190809936
63,0.5929278867979239
64,0.595057731599982
65,0.5971503677064601
66,0.5992781104867406
67,0.6013955548942056
68,0.6034557403723337
69,0.6054327813865255
70,0.607315743217317
71,0.6090624306255642
72,0.6106549463379575
73,0.6120712065483166
74,0.6132740581072865
75,0.6143836424325976
76,0.615413094908948
77,0.6163501413936531
78,0.6171469825244345
79,0.6178660122971532
80,0.6185136288113509
81,0.6190422493983485
82,0.6194068315465219
83,0.6197056040409015
84,0.6198805086721438
85,0.6199416228837451
86,0.6198496815368045
87,0.6196752043843917
88,0.6194260059846556
89,0.6191706009412337
90,0.6189168799670701
91,0.6186496874623845
92,0.6185080839615349
93,0.6183328287502455
94,0.6181894877240411
95,0.6180364963326106
96,0.6178074528118326
97,0.6175384115406958
98,0.6173598147328293
99,0.6172382589195403
100,0.617194216174952
101,0.6172498376066141
102,0.6173885441734304
103,0.6175894305594853
104,0.617700528848311
105,0.6178491988644454
106,0.6180468321730103
107,0.6182018253444035
108,0.6183517029985303
109,0.618454666687558
110,0.6185506145927336
111,0.6185843933649453
112,0.6185584701346508
113,0.6184359622110975
114,0.61825265710346
115,0.6180003006714971
116,0.617700963609538
117,0.6173572322563071
118,0.6169631569612989
119,0.6165424218994582
120,0.6160474950229828
121,0.6154975099727833
122,0.6149762700335706
123,0.6144110793121212
124,0.6138653618005295
125,0.6133702635952187
126,0.6129306381488526
127,0.6125253035272503
128,0.6121750667968925
129,0.6118825453816187
130,0.611649654399825
131,0.6115178770063259
132,0.6114486505905553
133,0.6114340141064629
134,0.6115248893615898
135,0.6117112810860486
136,0.611953705097823
137,0.6122677166026171
138,0.6126259224332162
139,0.6130142524804443
140,0.6134613139342006
141,0.6139094227926483
142,0.614376519117231
143,0.6148484503057088
144,0.6153160097993805
145,0.6157810842659114
146,0.616253013433384
147,0.6167169944002258
148,0.617219003996609
149,0.617747969383482
150,0.6182965856872357
151,0.6188266943118271
152,0.6193575090224693
153,0.6199147265594147
154,0.6204570677424446
155,0.6210082292901723
156,0.6215164578562147
157,0.6220176401286562
158,0.622521686786212
159,0.6230596669482531
160,0.6235971529929524
161,0.6241416290757238
162,0.624703887206441
163,0.6252654175231305
164,0.6258026853473285
165,0.6263367611177539
166,0.62686905509678
167,0.6273993841764479
168,0.6279300287181635
169,0.6284506734624817
170,0.6289593288481719
171,0.6294636631990176
172,0.6299779023294526
173,0.6305046259128949
174,0.6310331407559753
175,0.6315441196280934
176,0.6320649067803176
177,0.632600054850574
178,0.6331399370617066
179,0.6337226562666429
180,0.6343115242414671
181,0.6349496574902462
182,0.6355849727525198
183,0.6362636486262371
184,0.6369595967878849
185,0.6376686534300321
186,0.6383788254756848
187,0.6391139645697232
188,0.6398687040376169
189,0.6406616928503955
190,0.6414558354656346
191,0.6422952668926056
192,0.6431821328603284
193,0.6440767469451105
194,0.6450157007128834
195,0.6460095959539487
196,0.647034543306739
197,0.6480975009534472
198,0.6491845574157913
199,0.6503181406154998
200,0.65149575643271
201,0.6526880617792185
202,0.6539299625773046
203,0.6552220531443719
204,0.6565429476833559
205,0.6579072515767627
206,0.659351041785223
207,0.6608528612488695
208,0.6624206813887507
209,0.6640329713607459
210,0.6657212567538241
211,0.6675066756988035
212,0.669340491096581
213,0.6712533918917901
214,0.6732281118337159
215,0.6752995456192561
216,0.6774306750957385
217,0.6796171984240675
218,0.6818768510627253
219,0.6842119940263928
220,0.6866009822051309
221,0.6890793341554269
222,0.6916131543095314
223,0.694236170977345
224,0.6969288264274947
225,0.6996959400462324
226,0.7025335429981842
227,0.7054347294979152
228,0.7083984265748944
229,0.7114128732819249
230,0.714490996452407
231,0.7176439439135923
232,0.7208422176491279
233,0.7240768311458894
234,0.7273361113309746
235,0.7306611710011276
236,0.7340220995821362
237,0.7374267799193055
238,0.7408543209821691
239,0.7443194669363802
240,0.7478161345368405
241,0.7513475461949614
242,0.7548990202071316
243,0.7584768506738099
244,0.7620729839098713
245,0.765681880457805
246,0.7693291961883789
247,0.7730131918475649
248,0.7767240804879746
249,0.7804571377252655
250,0.784226395437304
251,0.7880069107916075
252,0.7918013296304757
253,0.7956013934546007
254,0.7994236895125615
255,0.8032572141521084
256,0.8070907848354214
257,0.8109335917939956
258,0.8147682616454573
259,0.8185822665698619
260,0.8223935653912535
261,0.826178239633417
262,0.8299473234799106
263,0.8337094977815305
264,0.8374748427284476
265,0.8412564043252075
266,0.8450432628789439
267,0.8488404044315937
268,0.8526316953552238
269,0.8564192375054064
270,0.8601882703572555
271,0.8639351213671465
272,0.8676555776567595
273,0.8713339080588651
274,0.8749635265945572
275,0.8785512351038796
276,0.8820995391663125
277,0.8856177817900619
278,0.8890976939578756
279,0.8925442910406944
280,0.8959696374846023
281,0.8993733848593088
282,0.9027752219885299
283,0.9061820239422885
284,0.9095876033060456
285,0.9129609960517115
286,0.9163017547349677
287,0.9195863126225403
288,0.9228215543771063
289,0.9260274768662728
290,0.9291914382297704
291,0.9323515237540425
292,0.935496362347975
293,0.9386245162130373
294,0.9417224701186817
295,0.9448316919993516
296,0.947959501331858
297,0.9511039564735735
298,0.9542405082934455
299,0.9573825124881867
300,0.9605219213547355
301,0.9636654742103006
302,0.9667772649838698
303,0.9698657593112895
304,0.9730087376589749
305,0.9761428848018432
306,0.9792297214355105
307,0.9823598426276662
308,0.9853697382593456
309,0.9882141587114314
310,0.9910349263203477
311,0.9938116213939441
312,0.996854256406692
313,1.0
