k,accuracy
1,0.2300664900805449
2,0.3253374056255293
3,0.36827215885547776
4,0.3994742959078869
5,0.42157053534422323
6,0.4356421668438145
7,0.4459520334432043
8,0.4523408923004847
9,0.4587284998387707
10,0.46456655314697815
11,0.4700032925613029
12,0.4741187211320872
13,0.4777687220792426
14,0.4801456449383674
15,0.4824591119039953
16,0.48490740490476963
17,0.4872171150745554
18,0.48937730367810706
19,0.49152301262375
20,0.49344243833001017
21,0.4955561733496148
22,0.49763132159480145
23,0.4997763294686853
24,0.5020365214936492
25,0.5042877993405492
26,0.5061358133011156
27,0.5078939869289208
28,0.5094043049946171
29,0.510862966808396
30,0.5122994636346998
31,0.5136781587147634
32,0.5151083617132458
33,0.5167128881113385
34,0.5181657938054925
35,0.5195856146664065
36,0.5209420729448855
37,0.52221814765735
38,0.5234348845788439
39,0.524569126628648
40,0.5256178261888023
41,0.5265857042590689
42,0.5275383825980667
43,0.5284037980682316
44,0.5292710334874434
45,0.5301880181711137
46,0.5312882169110379
47,0.5324184669364846
48,0.5334806010535177
49,0.5346014290899243
50,0.5357300394616097
51,0.536924624436482
52,0.5380718777591563
53,0.5393368194983449
54,0.5405262146301434
55,0.5417403397726311
56,0.5429909016961021
57,0.5441147601149888
58,0.5452584265194762
59,0.5462581119821631
60,0.5471914397775297
61,0.5480559132276177
62,0.5489108100583483
63,0.5497417134801686
64,0.550541020235328
65,0.5511729670764258
66,0.55174726889414
67,0.5521770841990002
68,0.5526215513504072
69,0.5528836524131338
70,0.5530883265245863
71,0.5532001856717711
72,0.5532840363743428
73,0.5532451340697883
74,0.5531921861856888
75,0.5530840706103745
76,0.5528947510676389
77,0.5526837884531927
78,0.5524786971619969
79,0.5521658942448714
80,0.5518923320179524
81,0.5515630140835105
82,0.5512438158599996
83,0.550940341722591
84,0.5506747683487027
85,0.5504468180049675
86,0.5501443405069381
87,0.5498089469059011
88,0.5493877023655658
89,0.5489560828574237
90,0.5484750927474655
91,0.5479060644201823
92,0.5473205171294072
93,0.5467020303916177
94,0.5460629652589836
95,0.5454264478968189
96,0.5447368401295009
97,0.543990582568931
98,0.5432534871346008
99,0.5424830498618315
100,0.541664684577538
101,0.540810430034794
102,0.5399544649472799
103,0.5390808319736762
104,0.5382181088097657
105,0.5373778247984521
106,0.5365647845659403
107,0.5358124098312601
108,0.5351085877849047
109,0.5344503289950733
110,0.5338693983459032
111,0.5332983667485197
112,0.5327946459139467
113,0.5323174608338218
114,0.5318292058774282
115,0.531405614561279
116,0.5310422184982597
117,0.53069673897797
118,0.5304118591842734
119,0.5302014205325548
120,0.5299997447309438
121,0.5299415335829469
122,0.5299099020860251
123,0.5299839689569086
124,0.5301228139618709
125,0.5303808854532999
126,0.5306530225712134
127,0.5310111818484493
128,0.5314521505666973
129,0.5319535394959495
130,0.5325106970435906
131,0.533152606969918
132,0.5338533177608132
133,0.5346385993088931
134,0.535501851787627
135,0.5364225226718727
136,0.5374029889267907
137,0.5384712713478079
138,0.53959830182745
139,0.5407802845781648
140,0.5420048445348
141,0.543324174317986
142,0.5447013758131058
143,0.5461368730194819
144,0.5476248841278728
145,0.5492096186621417
146,0.5508461397760004
147,0.5525238907931946
148,0.5542792305794275
149,0.5560932430835148
150,0.557965175294917
151,0.5598613587728707
152,0.5618403507823572
153,0.5637819909242708
154,0.5657716609928881
155,0.5678326117017397
156,0.5698823290518722
157,0.5719599349434017
158,0.5740562324844778
159,0.5762061703602128
160,0.5783648778312338
161,0.5805327510847966
162,0.5827263046363234
163,0.5849261072091106
164,0.5871283637833545
165,0.5893346678307474
166,0.591534742678861
167,0.5937636052827672
168,0.5960154324084904
169,0.5982729702430001
170,0.6005663263198169
171,0.6028726382863362
172,0.6051895849393266
173,0.6075183358869032
174,0.609861794331442
175,0.6122096689910351
176,0.6145333715827643
177,0.6168634961587636
178,0.6191996814081088
179,0.6215208371522016
180,0.623815001011081
181,0.6261185587952354
182,0.6284021985539241
183,0.6307018909406267
184,0.632980993488762
185,0.6352499209838529
186,0.637511986020594
187,0.6397578074027187
188,0.6420084907790375
189,0.6442887946748986
190,0.6465449056983499
191,0.6488066851783185
192,0.6510866202978017
193,0.6533767731084287
194,0.6556885957799907
195,0.6580399587315668
196,0.660392196231968
197,0.6627774913337475
198,0.6651677231438504
199,0.6676015716545793
200,0.6700388759752473
201,0.6724871596753766
202,0.6749517456745928
203,0.6774078055608466
204,0.6798883670446764
205,0.682372371699191
206,0.6848487043208016
207,0.6873304027659044
208,0.6898163500868203
209,0.6923166586962063
210,0.6948198401105596
211,0.697298227212945
212,0.699779029361179
213,0.7022301505786736
214,0.7046593745318463
215,0.7070899705032374
216,0.7094616475763408
217,0.7118038264864627
218,0.7141108379598505
219,0.716403445395479
220,0.7186406881944531
221,0.7208453320659594
222,0.7230439531906584
223,0.7252092404948869
224,0.7273774370686662
225,0.7295417770331644
226,0.7316948169566462
227,0.7338598847942683
228,0.7360347674867409
229,0.7382453813747141
230,0.7404982721353336
231,0.7428022902373355
232,0.7451879582805518
233,0.7476156736151525
234,0.7501103855771989
235,0.7526689385929415
236,0.7552881923987906
237,0.7579735370199363
238,0.7607136156801484
239,0.7635013706122953
240,0.7663452153566636
241,0.7692330122569424
242,0.7721587065164599
243,0.7751191978567392
244,0.7781194862990791
245,0.7811478686291163
246,0.7842212887503707
247,0.7873238433812888
248,0.7904575777710438
249,0.7936328625312302
250,0.79683608123031
251,0.8000396920346216
252,0.803272220349281
253,0.8065254889323421
254,0.8097874411605344
255,0.8130561023079231
256,0.8163226658085122
257,0.8195924146067405
258,0.8228571053416991
259,0.826135754809037
260,0.8294058168080974
261,0.8326677352408047
262,0.8359347393375085
263,0.8392068738543026
264,0.8424739106841206
265,0.8457453930027526
266,0.849038849353351
267,0.8523356089225156
268,0.8556545277815716
269,0.8589793493647679
270,0.8623100748187844
271,0.865634470983481
272,0.868928725877844
273,0.8722063714506638
274,0.8754503268334096
275,0.8786684947750542
