k,accuracy
1,0.34824195069378955
2,0.4200951996048318
3,0.4465190773421965
4,0.4627778526202344
5,0.47541604921637826
6,0.484756088433808
7,0.4918137320938736
8,0.49765368898468726
9,0.5043802795116478
10,0.5093133953029075
11,0.512439224523286
12,0.51555076563834
13,0.5183922458609852
14,0.5209637997729711
15,0.5229068810155159
16,0.5242562530872513
17,0.5248092177729625
18,0.5252972492903183
19,0.5255443606997131
20,0.525972428038978
21,0.526519248410738
22,0.5277675039496501
23,0.5294687291946499
24,0.5315992336132416
25,0.534173963806245
26,0.5367454585021999
27,0.5394401451611109
28,0.5418207886684134
29,0.5440626446846447
30,0.5462224018441216
31,0.5482642585744028
32,0.5502292985764965
33,0.5520757895538451
34,0.5537330977117267
35,0.5553075062706203
36,0.5567774833974487
37,0.5582063540031135
38,0.559546076561345
39,0.5608788116397859
40,0.5622870357896605
41,0.5636228422097581
42,0.5650569123421857
43,0.5663171349888939
44,0.5676968390628261
45,0.5691834687979692
46,0.5706720397041692
47,0.5722661881844417
48,0.5739417276632666
49,0.5757294161096975
50,0.5776268355112922
51,0.5796134431139636
52,0.5816498961992915
53,0.5837552329704341
54,0.5858860432120367
55,0.5880541641661997
56,0.5902736347132155
57,0.5924220043121708
58,0.5946565582895496
59,0.5968869089885248
60,0.5991529330759185
61,0.6013860332197727
62,0.6036109795331379
63,0.6057672884289304
64,0.6079705813013606
65,0.6100900527463926
66,0.6121839437078641
67,0.6142286010335573
68,0.6161034991929767
69,0.6178902106717801
70,0.6195071944980315
71,0.6210487768315683
72,0.6224835471332835
73,0.6238002702938074
74,0.625022786493443
75,0.6260729564266331
76,0.6270958448256004
77,0.6279819421673088
78,0.6287791122758859
79,0.6294390055766768
80,0.630023350846468
81,0.6305164295824023
82,0.6308789753667046
83,0.6311563916991484
84,0.6313387818641785
85,0.6314729259613397
86,0.6315195699101539
87,0.6315280816639276
88,0.6314519980894655
89,0.6313221231106723
90,0.6311851552476108
91,0.6310045157138237
92,0.6308471320045314
93,0.6306143310266417
94,0.6303792219505144
95,0.6301433902683219
96,0.6299309017019086
97,0.6296959436469608
98,0.6294648642159126
99,0.6292585017628998
100,0.629043423593333
101,0.6288706628980955
102,0.6287422328939611
103,0.6286564936150518
104,0.6285915743513791
105,0.6285609933941839
106,0.6285253974346249
107,0.6284892917230245
108,0.6284445409080485
109,0.6283963266493768
110,0.6283262096923308
111,0.6282207844374795
112,0.6280930248968741
113,0.6279215878893892
114,0.6277131375290221
115,0.627481134819949
116,0.6272096977242448
117,0.6269321539692543
118,0.6265937827990062
119,0.6262627589093652
120,0.6259157722993207
121,0.6255299866507107
122,0.6251600953763126
123,0.6247852660392916
124,0.6244399490685446
125,0.6240916071669803
126,0.6237946265960533
127,0.6234962411994862
128,0.6232147267501909
129,0.6229703683050813
130,0.6227338452550198
131,0.6225372004145165
132,0.6223821809636118
133,0.6222677129299171
134,0.6222123921681942
135,0.6221903559668303
136,0.6222311152670577
137,0.622308646139315
138,0.6224447320997432
139,0.6226032187855145
140,0.6228395655716348
141,0.6231091849528945
142,0.6233935382918612
143,0.6237212067198801
144,0.6240359044211904
145,0.6243436600439165
146,0.6246886605058952
147,0.6250146706488698
148,0.6253368213963704
149,0.6256808679474543
150,0.6260130225875384
151,0.6263477961672618
152,0.6266605571587941
153,0.6269624205752794
154,0.6272542402138775
155,0.627560662225281
156,0.6278766849627774
157,0.6281736371688915
158,0.628476607374567
159,0.6288132725895066
160,0.6291511742781398
161,0.6295083073732096
162,0.6298774967583374
163,0.6302737277907542
164,0.630668248215545
165,0.6310803032343291
166,0.6314847967918393
167,0.6318904693642728
168,0.6322793377084535
169,0.6326713628757662
170,0.6330477345189364
171,0.633412561294879
172,0.6337881840120753
173,0.6341420212189108
174,0.6344827586207455
175,0.6348118011584704
176,0.6351514947399388
177,0.635501709579245
178,0.6358306831535493
179,0.6361704812486614
180,0.636502462316815
181,0.6368340995794532
182,0.6371663362899653
183,0.6375315043800429
184,0.637878743505764
185,0.6382523274988294
186,0.6386245501607312
187,0.6390186785158628
188,0.6394352228983846
189,0.6398785318804259
190,0.6403531461004344
191,0.6408647806838662
192,0.641413418504053
193,0.6420056971784215
194,0.6426604780442446
195,0.6433897415167745
196,0.6441514744116623
197,0.6449733108760928
198,0.6458844586690768
199,0.6468358226535961
200,0.6478553145628373
201,0.6489145721391257
202,0.6500522192863153
203,0.6512476753672092
204,0.6525191530651346
205,0.6538660655903451
206,0.6552992601060205
207,0.6568122363295003
208,0.6584145517915581
209,0.6600643587830867
210,0.661791942246538
211,0.66360036767151
212,0.6654831532455967
213,0.6674413598811385
214,0.6694843382714248
215,0.6715878053441726
216,0.673754954154936
217,0.6759941751185222
218,0.6783053415671725
219,0.6806787739203595
220,0.6831299523593419
221,0.6856308375846187
222,0.6882179768336755
223,0.6908625415255876
224,0.6935514536543353
225,0.6962884328489164
226,0.6990844052031598
227,0.7019157229098557
228,0.704789759660778
229,0.707717917539306
230,0.7106632928988459
231,0.7136593704019185
232,0.7166972488430128
233,0.7197519136379898
234,0.7228445660338284
235,0.7259715490382985
236,0.7291233309817011
237,0.732336583390385
238,0.7355671353818501
239,0.7388494916944549
240,0.7421782522790852
241,0.7455453862977826
242,0.7489406204895956
243,0.7523781329190357
244,0.7558526923778112
245,0.7593586765163512
246,0.7628997910617172
247,0.7664765910683067
248,0.7700831765265963
249,0.7737165916350683
250,0.7773893035155095
251,0.7810874245170981
252,0.7847977507354349
253,0.7885342658056587
