k,accuracy
1,0.3294804436660829
2,0.40211953837172754
3,0.42849701378600963
4,0.44568233867708473
5,0.4591512865417848
6,0.4678177436495712
7,0.4750421790701393
8,0.4807097310162109
9,0.48733815318750673
10,0.492978580088906
11,0.4972775035822384
12,0.5002641938719018
13,0.5028577152786186
14,0.504812583796875
15,0.5066235574116985
16,0.5088609726525664
17,0.5107728232070717
18,0.5127790999945798
19,0.5146772359972119
20,0.5166118819884179
21,0.5187138216911269
22,0.5205560930604658
23,0.5225017425276633
24,0.5243761881239986
25,0.5266021824060955
26,0.528539846699654
27,0.5302780979371841
28,0.5319704521981122
29,0.5335278204895876
30,0.5351151825407475
31,0.5365714525762046
32,0.5379513000134717
33,0.5392418050911357
34,0.5404527000077042
35,0.5415754123283942
36,0.5426422380888178
37,0.5436424164969889
38,0.5446116976395311
39,0.5455126190137707
40,0.5464246261619286
41,0.5472831640615533
42,0.5481307561866617
43,0.5488967351631038
44,0.5496872946084528
45,0.5505247454107648
46,0.5513644430646792
47,0.5522297478700455
48,0.5531323439160525
49,0.5541454625767929
50,0.55516835062198
51,0.5561930371861005
52,0.557247743499956
53,0.558208254642849
54,0.5591584714174462
55,0.5600022860968279
56,0.5608557379573165
57,0.5615640655365604
58,0.5622693368390214
59,0.5628888985294523
60,0.5634863113147065
61,0.5640600143256183
62,0.5645300352435415
63,0.5648124982623035
64,0.5651127969374466
65,0.5652818509343007
66,0.5652935117034023
67,0.5653065669898855
68,0.5652108047853089
69,0.5650701794461727
70,0.5648784023912617
71,0.5646042404681398
72,0.5642781944007976
73,0.563860320600204
74,0.563440754508763
75,0.5629473558159538
76,0.562442479633031
77,0.5619354375920314
78,0.5614211315946213
79,0.5609339429108645
80,0.5604259284206775
81,0.5599674906544095
82,0.5595173866328954
83,0.5590981465941998
84,0.558668894833535
85,0.558230724325255
86,0.5577626421963313
87,0.5573074884265031
88,0.5568384913393708
89,0.5563989039028149
90,0.5559367531342702
91,0.5554555462944543
92,0.5549522928149354
93,0.5544052028544013
94,0.5538673645168091
95,0.5532966999199491
96,0.5526791728411685
97,0.5521151172658587
98,0.551502363035983
99,0.5508528184535322
100,0.5502082715882988
101,0.5495387852135022
102,0.5488730927281299
103,0.54818841290549
104,0.5475409071596617
105,0.5469031688292159
106,0.5462873763934105
107,0.5456854442891688
108,0.54510596860282
109,0.5445349008223576
110,0.5440096505946679
111,0.5434818086302768
112,0.5430208072721299
113,0.5425818740048154
114,0.5421749060329298
115,0.5417987570946428
116,0.5414499977546865
117,0.541139900509036
118,0.5408651990948277
119,0.5406292275768182
120,0.5404444893499157
121,0.5403077843452729
122,0.5402170480319975
123,0.5401840832364692
124,0.5402009012960753
125,0.5402936817998626
126,0.5404525616430735
127,0.5406712413673511
128,0.5409596159459338
129,0.541304785983908
130,0.5417357001968233
131,0.5422220805357856
132,0.5428087285358463
133,0.5434511105997273
134,0.5441769999524535
135,0.5449860709867973
136,0.5458625549101256
137,0.546835917692667
138,0.5478763941033745
139,0.5489815018521947
140,0.5501495352284759
141,0.5514301119546934
142,0.5527669045387098
143,0.5541631299681518
144,0.5556744303241671
145,0.5572577310966655
146,0.5589069392484293
147,0.5605712220674062
148,0.562316964681384
149,0.5641353541398436
150,0.5660211654469228
151,0.5679388000841409
152,0.5699044104265409
153,0.571868452202197
154,0.5738713125752081
155,0.5759029694106385
156,0.5779603933720481
157,0.5799994451172369
158,0.5820943685696021
159,0.584201802375846
160,0.5863333557860662
161,0.5884603530685598
162,0.5906288928474045
163,0.5928129753128143
164,0.5950156566769614
165,0.5972265834962216
166,0.5994245606971651
167,0.6016454226126283
168,0.6038752889452227
169,0.6061438128359627
170,0.6084365234711565
